Original,Prediction,Simplified sentences
"this stamp remained the standard letter stamp for the remainder of victoria 's reign , and vast quantities were printed . <eos>",this is the same as the main person for the beatles . <eos>,"this stamp stayed the standard letter stamp for the rest of victoria 's reign , and many were printed . <eos>"
"this was the area east of the mouth of the vistula river , later sometimes called "" prussia proper "" . <eos>",this was the area of the city of the province of the province of the province of the province of the province of the province of the province of the province of the province of the province of the province of the province of the province of the province of the province of the province of<eos>,"this area , which later was sometimes called "" prussia proper "" , was east of the place where the vistula river begins . <eos>"
weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour . <eos>,the first time was later later to live in the united states . <eos>,weelkes later found himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behavior . <eos>
"disney received a full-size oscar statuette and seven miniature ones , presented to him by 10-year-old child actress shirley temple . <eos>","a person and the man , to be called "" her "" . <eos>","disney got a full-size oscar statuette and seven miniature ones , given to him by 10-year-old child actress shirley temple . <eos>"
"alessandro -lrb- "" sandro "" -rrb- mazzola -lrb- born 8 november 1942 -rrb- is an italian former football player . <eos>","-lrb- born april 14 , 1979 -rrb- is an italian football player . <eos>",alessandro mazzola is an italian former football player . <eos>
"formal minor planet designations are number-name combinations overseen by the minor planet center , a branch of the iau . <eos>","the main major center are the main center of the caribbean center , a series of the caribbean center , a series of the caribbean . <eos>",formal minor planet designations are number-name combinations overseen by the minor planet center . <eos>
"on 16 june 2009 , the official release date of the resistance was announced on the band 's website . <eos>","on june june 2009 , the second album was the second album 's second album . <eos>",on june 16 2009 the official release date of the resistance was announced on the band 's website . <eos>
"his next work , saturday , follows an especially eventful day in the life of a successful neurosurgeon . <eos>","his work , the band , is an american singer in the life of a star . <eos>",his next work at saturday will be a successful neurosurgeon . <eos>
"it is situated at the coast of the baltic sea , where it encloses the city of stralsund . <eos>","it is the capital of the city of the north sea , where it is the city of the north of the north sea . <eos>","it is situated at the coast of the baltic sea , where it encloses the city of stralsund . <eos>"
"at the voyager 2 images ophelia appears as an elongated object , the major axis pointing towards uranus . <eos>","at the same system , the major major association is an average compound . <eos>",at the voyager 2 pictures ophelia appears as a stretched object . a stretched object was the major axis . it pointing towards uranus . <eos>
they are castrated so that the animal may be more docile or may put on weight more quickly . <eos>,they are the next more more or more more than the other may be more than the may may be more than the other may be more than the may may be more more than the other may be more . <eos>,they are castrated so that the animal is docile or may put on weight quickly . <eos>
the great dark spot is thought to represent a hole in the methane cloud deck of neptune . <eos>,the great union is a small in the canton of aargau in the canton of aargau . <eos>,the great dark spot is thought to represent a hole in the methane cloud deck of neptune . <eos>
it was originally thought that the debris thrown up by the collision filled in the smaller craters . <eos>,it was also the same in the upper union . <eos>,it was thought that the debris thrown up by the collision filled the smaller craters . <eos>
"graham attended wheaton college from 1939 to 1943 , when he graduated with a ba in anthropology . <eos>",he was a british in the royal court . <eos>,graham attended wheaton college from 1939 to 1943 and graduated with a ba in anthropology . <eos>
"despina was discovered in late july , 1989 from the images taken by the voyager 2 probe . <eos>","in the late july , 1989 from the greek 2 , the album . <eos>","despina was discovered in late july , 1989 from the images taken by the voyager 2 probe . <eos>"
"by early on september 30 , wind shear began to dramatically increase and a weakening trend began . <eos>","by early september , 2008 to become a year . <eos>","by early on september 30 , wind shear began to dramatically increase and a weakening trend began . <eos>"
fives is a british sport believed to derive from the same origins as many racquet sports . <eos>,it is a british person to the same as many people . <eos>,"fives , a british sport , came from the same games as many racquet sports . <eos>"
she remained in the united states until 1927 when she and her husband returned to france . <eos>,she was also in the united states until she she was part of the united states until she was part of the united states until she was part of france . <eos>,she stayed in the united states until 1927 then she and her husband went to france . <eos>
the first italian grand prix motor racing championship took place on 4 september 1921 at brescia . <eos>,the first first first time in the first time the first grand prix grand prix championship . <eos>,the first italian grand prix motor racing championship took place on 4 september 1921 at brescia . <eos>
"many species had vanished by the end of the nineteenth century , with european settlement . <eos>","many species of the depression , with the european island of the 19th century , with the european island . <eos>","many species had disappeared by the end of the nineteenth century , with european settlement . <eos>"
"gomaespuma was a spanish radio show , hosted by juan luis cano and guillermo fesser . <eos>","he was a spanish show , and was released by the band , and the beatles . <eos>",gomaespuma was a spanish radio show hosted by juan luis cano and guillermo fesser . <eos>
"he was also named 1982 "" sportsman of the year "" by sports illustrated . <eos>",he also also also also also also also also also also also also also also called the year by the english league . <eos>,"sports illustrated named him "" sportsman of the year "" in 1982 . <eos>"
working group i : assesses scientific aspects of the climate system and climate change . <eos>,the climate of the climate system is the same system of the climate system and the same time . <eos>,working group i : makes note of climate system and climate change <eos>
"mariel of redwall is a fantasy novel by brian jacques , published in 1991 . <eos>",he was a book by the author of the royal saga . <eos>,"mariel of redwall is a fiction novel in the category of fantasy by author brian jacques , published in 1991 . <eos>"
the incident has been the subject of numerous reports as to ethics in scholarship . <eos>,the word has been the same of the most important important of the most important important in the state of america . <eos>,the incident has been the subject of numerous reports regarding scholarship ethics . <eos>
in 1987 wexler was inducted into the rock and roll hall of fame . <eos>,in the late 1960s was the third and the rock and was the third of the royal hall of fame . <eos>,in 1987 wexler was inducted into the rock and roll hall of fame . <eos>
"orton and his wife welcomed alanna marie orton on july 12 , 2008 . <eos>",he was his wife and his wife in the united states . <eos>,"orton and his wife greeted alanna marie orton on july 12 , 2008 . <eos>"
they are culturally akin to the coastal peoples of papua new guinea . <eos>,they are also called the great people . <eos>,their culture is similar to the culture of the coastal peoples of papua new guinea . <eos>
the british decided to eliminate him and take the land by force . <eos>,the british to the british and the british to the land and the land by the british republic . <eos>,the british decided to put an end to him and take the land by force . <eos>
it is derived from voice of america -lrb- voa -rrb- special english . <eos>,it is also known from the greek of america -lrb- -rrb- . <eos>,it comes from voice of america -lrb- voa -rrb- special english . <eos>
"hinterrhein is an administrative district in the canton of graubunden , switzerland . <eos>",it is an district in the canton of aargau in the canton of aargau . <eos>,"hinterrhein is an governmental district in the canton of graubunden , switzerland . <eos>"
"there he died six weeks later , on 13 january 888 . <eos>","he died in the united states , on january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january january<eos>",he died six weeks later on january 13th 888 . <eos>
"in its pure form , dextromethorphan occurs as a white powder . <eos>","in its form , it is a term . <eos>","in its pure form , dextromethorphan lives as a white powder . <eos>"
he is also a member of another jungiery boyband 183 club . <eos>,he is also also also also known as a member of the music of the band . <eos>,"he is also a member of 183 club , which is another jungiery boyband . <eos>"
it was the first asteroid to be discovered by a spacecraft . <eos>,it was used by a single . <eos>,it was the first asteroid discovered by a spacecraft . <eos>
"today nrc is organised as an independent , private foundation . <eos>",it is also known as an eccentricity of hawaii . <eos>,today nrc is organised as an independent foundation . <eos>
it continues as the bohemian switzerland in the czech republic . <eos>,it is also known as the region in the czech republic . <eos>,it is still called as the bohemian switzerland in the czech republic . <eos>
it is not actually a true louse . <eos>,it is not a small . <eos>,it 's not actually a true louse . <eos>
admission to tsinghua is extremely competitive . <eos>,the term is a person to the band . <eos>,entrance to tsinghua is very very difficult . <eos>
"none of the authors , contributors , sponsors , administrators , vandals , or anyone else connected with wikipedia , in any way whatsoever , can be responsible for your use of the information contained in or linked from these web pages . <eos>","the term , , , , or more than , can be used for example , in the same , and other types of the main union in the united states , or other types of the use of the use of the time<eos>","none of the authors , contributors , sponsors , administrators , vandals , or anyone else connected with wikipedia , in any way whatsoever , can be responsible for your use of the information contained in or linked from these web pages . <eos>"
"historically , the sensations of itch and pain have not been considered to be independent of each other until recently , where it was found that itch has several features in common with pain , but exhibits notable differences . <eos>",the word of the church of the church of the church of the church of the church and the have have been been in the early state of the united states . <eos>,"historically , the sensations of itch and pain have not been considered to be independent of each other until recently , where it was found that itch has several features in common with pain , but exhibits notable differences . <eos>"
"the tongue is sticky because of the presence of glycoprotein-rich mucous , which both lubricates movement in and out of the snout and helps to catch ants and termites , which adhere to it . <eos>",the word is the same of the order of the church of the church of the bible . <eos>,"the tongue is sticky because of the presence of glycoprotein-rich mucous , which both oils movement in and out of the beak and helps to catch ants and termites , which sticks to it . <eos>"
"the current lineup of the band comprises flynn -lrb- vocals , guitar -rrb- , duce -lrb- bass -rrb- , phil demmel -lrb- guitar -rrb- , and dave mcclain -lrb- drums -rrb- . <eos>",the band of the band was the band of the band . <eos>,"the current lineup of the band comprises flynn -lrb- vocals , guitar -rrb- , duce -lrb- bass -rrb- , phil demmel -lrb- guitar -rrb- , and dave mcclain -lrb- drums -rrb- <eos>"
"in the soviet years , the bolsheviks demolished two of rostov 's principal landmarks - st alexander nevsky cathedral -lrb- 1908 -rrb- and st george cathedral in nakhichevan -lrb- 1783-1807 -rrb- . <eos>","in the united states , the british army of america 's american civil state of ireland 's american state of ireland 's american state of ireland . <eos>","in the soviet years , the bolsheviks demolished two of rostov 's principal like st alexander nevsky cathedral -lrb- 1908 -rrb- and st george cathedral in nakhichevan -lrb- 1783-1807 -rrb- . <eos>"
"furthermore , research has shown children are less likely to report a crime if it involves someone that he or she knows , trusts , and / or cares about . <eos>",he has been popular in the united states . <eos>,"furthermore , research has shown children are less likely to report a crime if it involves someone that he or she knows , trusts , and / or cares about . <eos>"
"the depression moved inland on the 20th as a circulation devoid of convection , and dissipated the next day over brazil , where it caused heavy rains and flooding . <eos>","the depression on the east , as a few people on the north of the town as a tropical cyclone of the town , and the next day over the day over the day over the day . <eos>",on 20th depression moved inland as convection less circulation and after weakening over brazil it caused heavy rains and flooding . <eos>
"cogeneration -lrb- also combined heat and power , chp -rrb- is the use of a heat engine or a power station to simultaneously generate both electricity and useful heat . <eos>",it is the use of a term or a distance to the heat or a few nuclear to the same and new york . <eos>,cogeneration is a combination of heart and power to simultaneously generate both electricity and useful heat . <eos>
advocacy countries with a minority muslim population are more likely than muslim-majority countries of the greater middle east to use mosques as a way to promote civic participation . <eos>,the area of the east states of the east states of the east east east america . <eos>,assisted countries with a little muslim population are more likely than muslim-majority countries of the greater middle east to use mosques as a way to promote public participation . <eos>
"unlike the clouds on earth , however , which are composed of crystals of ice , neptune 's cirrus clouds are made up of crystals of frozen methane . <eos>","the "" "" "" do "" the "" "" on earth , which are of the "" "" on earth "" . <eos>","unlike the clouds on earth , however , which are composed of crystals of ice , neptune 's cirrus clouds are made up of crystals of frozen methane . <eos>"
"volunteers provided food , blankets , water , children 's toys , massages , and a live rock band performance for those at the stadium . <eos>","the band also , the band , rock , rock , rock , rock , rock , and a live band band for the night . <eos>","volunteers provided food , blankets , water , children 's toys , massages and a live rock band performance for those at the stadium . <eos>"
"in 1990 , mark messier took the hart over ray bourque by a margin of two votes , the difference being a single first-place vote . <eos>","in the city , the album was a part of the two two thousand , the great civil album . <eos>","in 1990 mark messier took hart over ray bourque by two votes , the difference being a first-place vote . <eos>"
a wikipedia gadget is a javascript and / or a css snippet that can be enabled simply by checking an option in your wikipedia preferences . <eos>,a computer is a device and a term that can be used by an important in the same . <eos>,a wikipedia gadget is a javascript and/or a css snippet that can be enabled simply by checking an option in your wikipedia preferences . <eos>
the historical method comprises the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history . <eos>,the most important people and other countries are the same and the same . <eos>,"in writing history , there is a method called the historical method which uses primary sources and other evidence to research the historical events . <eos>"
it will then dislodge itself and sink back to the river bed in order to digest its food and wait for its next meal . <eos>,it is also the great lakes of the river and the river to the river in the river to the river . <eos>,it will then dislodge itself and sink back to the river bed in order to digest its food and wait for its next meal . <eos>
"johan was also the original bassist of the swedish power metal band hammerfall , but quit before the band ever released a studio album . <eos>","the original name of the band was also also the original band band , but he was the band released in 2007 , but he was the band released in the band , but he was the band released . <eos>","johan was also the original bassist of the swedish power metal band , hammerfall , but quit before the band ever released a studio album . <eos>"
the two former presidents were later separately charged with mutiny and treason for their roles in the 1979 coup and the 1980 gwangju massacre . <eos>,the two two were later in the 1970s and the orchestra of the two society were the orchestra in the 1970s and the orchestra . <eos>,"the two former presidents were later charged , each on their own , with mutiny and treason for their roles in the 1979 coup and the 1980 gwangju massacre . <eos>"
"on occasion the male "" den master "" will also allow a second male into the den ; the reason for this is unclear . <eos>","on the "" life "" "" "" "" will do not be a very very very very different into the same . <eos>","on opportunity the male "" den master "" will let a second male inside of the den ; the basis for this is poorly explained . <eos>"
"james i appointed him a gentleman of the chapel royal , where he served as an organist from at least 1615 until his death . <eos>",james i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i<eos>,"james i made him a gentleman of the chapel royal , where he served as an organist from at least 1615 until his death . <eos>"
"there are statues of sir alf ramsey and sir bobby robson , both former ipswich town and england managers , outside the ground . <eos>",there are many of the main lakes of the area and the area . <eos>,"there are statues of sir alf ramsey and sir bobby robson , both former ipswich town and england managers , outside the ground . <eos>"
"george frideric handel also served as kapellmeister for george , elector of hanover -lrb- who eventually became george i of great britain -rrb- . <eos>",george vi also also also known as for president of the house of george -lrb- who became president of great britain -rrb- . <eos>,"george frideric handel also served as choirmaster for george , the elector of hanover , who eventually became george i of great britain . <eos>"
"today , landis ' father has become a hearty supporter of his son and regards himself as one of floyd 's biggest fans . <eos>","the old , king of his son and his father was a young man of his son . <eos>",landis ' father has become a supporter of his son and regards himself as one of floyd 's biggest fans . <eos>
the new york city housing authority police department was a law enforcement agency in new york city that existed from 1952 to 1995 . <eos>,the new york city was a city in new york city . <eos>,the new york city housing authority police department was a law enforcement agency in new york city from 1952 to 1995 . <eos>
"he died on may 29 , 1518 in madrid , spain and was buried in the church of san benito d ' alcantara . <eos>","he was born in the 1960s , in the 1960s and was in the church of the house of scotland . <eos>","he died on may 29 , 1518 in madrid , spain . it was buried in the church of san benito d ' alcantara . <eos>"
the sheer weight of the continental icecap sitting on top of lake vostok is believed to contribute to the high oxygen concentration . <eos>,the history of the flag of the flag is to the british union . <eos>,the lake vostok has a very large weight of the continental icecap on its waters . the high oxygen concentration of the lake water may because of this icecap . <eos>
the form of chess played is speed chess in which each competitor has a total of twelve minutes for the whole game . <eos>,the word of the league is a major in which each only has a total of the time . <eos>,"the form of chess played is speed chess , in which each player has a total of twelve minutes for the whole game . <eos>"
"the wave traveled across the atlantic , and organized into a tropical depression off the northern coast of haiti on september 13 . <eos>","the depression of the depression , and tropical storm into the atlantic ocean . <eos>",the wave traveled across the atlantic and organized into a tropical depression off the coast of haiti on september 13 . <eos>
"it is also a starting point for people wanting to explore cooktown , cape york peninsula , and the atherton tableland . <eos>","it is also also also known as people to the station for people to the day , and the new york . <eos>","it is a starting point for people wanting to explore cooktown , cape york peninsula and atherton tableland . <eos>"
"prior to the arrival of the storm , the national park service closed visitor centers and campgrounds along the outer banks . <eos>",the national park was the national park and the national park . <eos>,"before the arrival of the storm , the national park service closed visitor centers and campgrounds along the outer banks . <eos>"
she was left behind -lrb- explanations for this vary -rrb- when the rest of the nicolenos were moved to the mainland . <eos>,she was also for the rest of the british century . <eos>,people have different thinking about why she was left behind when the nicolenos were moved to the main part of the country . <eos>
aliteracy -lrb- sometimes spelled alliteracy -rrb- is the state of being able to read but being uninterested in doing so . <eos>,the word -lrb- sometimes known as the state of the state of the state of the state of hawaii -rrb- is the state of the state of the state of the state of the state of hawaii . <eos>,aliteracy is being able to read but uninterested in read . <eos>
"brunstad has several fast food restaurants , a cafeteria-style restaurant , coffee bar , and its own grocery store . <eos>","it has been a small , and its own , and its own main , and its own main . <eos>","brunstad has many fast food restaurants , a cafeteria-style restaurant , coffee bar , and its own grocery shop . <eos>"
"development stable releases are rare , but there are often subversion snapshots which are stable enough to use . <eos>","the main main main main main main types of the band are also known as the band are called the "" "" "" "" "" "" "" "" "" "" . <eos>","development stable releases are rare , but there are often subversion snapshots -lrb- an informal photograph taken quickly -rrb- which are stable enough to use . <eos>"
he served as the prime minister of egypt between 1945 and 1946 and again from 1946 and 1948 . <eos>,he was the royal minister of the british minister between 1945 and the royal minister of the british republic . <eos>,he served as prime minster of egypt from 1945 and 1946 as well as from 1946 through 1948 . <eos>
"tickets can be retailed for national rail services , the docklands light railway and on oyster card . <eos>",the same can be found for the national park . <eos>,tickets can be retailed for national rail services and the docklands light railway on oyster card . <eos>
"these works he produced and published himself , whilst his much larger woodcuts were mostly commissioned work . <eos>","he was the father of the band and the music , and he was his father . <eos>","these works he produced and published himself , whilst his much bigger woodcuts were mostly outsourced work . <eos>"
the amazon basin is the part of south america drained by the amazon river and its tributaries . <eos>,the city is the part of the south america . <eos>,the amazon basin is the part of south america drained by the amazon river and those who pay tribute to it . <eos>
"finally in 1482 the order dispatched him to florence , the ' city of his destiny ' . <eos>","in the order of his wife , the ' city of his wife . <eos>",in 1482 the order dispatched him to florence . <eos>
this was demonstrated in the miller-urey experiment by stanley l. miller and harold c. urey in 1953 . <eos>,this was the first by the grand prix by the grand prix and early prix in the 1960s . <eos>,this was shown in the miller-urey experiment by stanley l. miller and harold c. urey in 1953 . <eos>
the same tram had derailed on 30 may 2006 at starr gate loop during previous trials . <eos>,"the same had been on the day on may 30 , 2006 . <eos>",the same team had derailed on 30 may 2006 at starr gate loop during previous trials . <eos>
vouvray-sur-huisne is a commune in the sarthe department in the region of pays-de-la-loire in northwestern france . <eos>,it is found in the region pays de la loire in the sarthe department in the northwest of france . <eos>,vouvray-sur-huisne is a community in the sarthe department in the area of pays-de-la-loire in northwestern france . <eos>
moderate to severe damage extended up the atlantic coastline and as far inland as west virginia . <eos>,"the atlantic and as the north as the north east as the east as the north as the east as west west , as well as west west , and as as west west as west west . <eos>",there was moderate to severe damage all the way up the atlantic coastline and as far inland as west virginia . <eos>
since the end of the 19th century eschelbronn is well known for its furniture manufacturing industry . <eos>,since the 19th century is known for its main language . <eos>,since the end of the 19th century eschelbronn is well known for its furniture making business . <eos>
chauvin was embarrassed to receive his award and initially indicated that he may not accept it . <eos>,"he was his father and his father , and he was his father and his father may not not not be not . <eos>",chauvin was embarrassed to get his award and at first said that he may not accept it . <eos>
"shortly after attaining category 4 status , the outer convection of the hurricane became ragged . <eos>","after the old depression , the old of the hurricane became the old party . <eos>","shortly after reaching category 4 status , the outer convection of the hurricane became worn out <eos>"
the upper half also resembles the coat of arms of the former district oberbarnim . <eos>,the area of the district is also the capital of the district district . <eos>,"the former district oberbarnim , also resembles the upper half of the coat of arms . <eos>"
"he left a detachment of 11,000 troops to garrison the newly conquered region . <eos>",he was a member of the royal region of the royal region . <eos>,"he left 11,000 troops to garrison the newly conquered region . <eos>"
"in 1998 , culver ran for iowa secretary of state and was victorious . <eos>","in the north , washington of state , australia , australia , australia , australia , australia , australia , australia , australia , australia , australia , australia , australia , australia , australia , australia , australia , australia , australia ,<eos>","in 1998 , culver successfully ran for iowa secretary of state . <eos>"
"their eyes are quite small , and their visual acuity is poor . <eos>",their common are common and their common . <eos>,"their eyes are quite small , and their visual acuity is poor . <eos>"
the equilibrium price for a certain type of labor is the wage . <eos>,the term is a common of the land of the state of the united states . <eos>,the balanced price for any kind of labor is called a wage . <eos>
the characters are foul-mouthed extensions of their earlier characters pete and dud . <eos>,"the song are also called the "" "" "" their guitar "" and "" their friends "" . <eos>",the characters speak bad language of their earlier characters pete and dud <eos>
"for example , the stylebook of the associated press is updated annually . <eos>","for example , the term of the english is the same of the english language is the same of the english language . <eos>",the stylebook of the associated press is updated yearly . <eos>
they are rivaled as biological materials in toughness only by chitin . <eos>,"they are also known as the same as the same as the same as the same as the same as the same as the same as the same as the "" black "" . <eos>",they are rivaled as biological materials in toughness only by chitin . <eos>
"he settled in london , devoting himself chiefly to practical teaching . <eos>","he was in london , he was a london party . <eos>",he teaches in london . <eos>
volterra is a town in the tuscany region of italy . <eos>,it is a town in the region of the region of the region of the region of the region of the region of the region of the province of italy . <eos>,volterra is a town in the tuscany area of italy . <eos>
mifepristone is a synthetic steroid compound used as a pharmaceutical . <eos>,it is a person used to describe a person . <eos>,pharmaceutical has used a mifepristone is a synthetic steroid <eos>
