Original,Prediction,Simplified sentences
"he gives lulu a revolver , and orders her to kill herself , but when the schoolboy comes out from under the table he is distracted and she shoots schon instead . <eos>",he is allowing her to kill to kill to kill to kill to get the table he is reasonably and she would been a lot of the table he is reasonably and she the '' high radio since . <eos>,"he gives lulu a revolver , and tells her to kill herself , but she shoots schon instead . <eos>"
"the components are generally distributed together , have a consistent user interface and usually can interact with each other , sometimes in ways that the operating system would not normally allow . <eos>","the components are generally distributed together , have a consistent user and usually can lined with each other , sometimes in ways that the operating system would not real . <eos>","the parts of an office suite are usually come together , have a standard user interface and usually can interact with each other , sometimes in ways operating system would not normally allow . <eos>"
"a typical great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>",a typical great hall was a character of the one and a half and three times as long as it was given . <eos>,"appearance a great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide . <eos>"
"being much more resistant to cold and moist weather conditions , brick enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>","the construction of these development across to cold and cut weather conditions , william of the severnaya climate disk the use of giant into . <eos>",fired bricks were much more resistant to cold and moist weather conditions.fired bricks enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks . <eos>
"a succession of steadily more powerful and flexible computing devices were constructed in the 1930s and 1940s , gradually adding the key features that are seen in modern computers . <eos>","a song of the 1930s and allowing computing devices were constructed in the 1930s and organ , as a single in modern computers . <eos>",computing devices became more powerful and flexible during the 1930s and 1940s . <eos>
"however , the bulk of the river flows through tropical rainforest , where there are few roads and even fewer cities , so there is no need for crossings . <eos>","however , the hall of the river flows through tropical heat , where there are few roads and even the even for plural . <eos>","for most of its course , the river flows through tropical rainforest , there are very few roads and cities . <eos>"
macmillan gave lectures on each of the nine symphonies of beethoven which were followed by a performance of the symphony in piano duet arrangement played by macmillan and dale . <eos>,the studio cultural of beethoven which were followed by a performance of the symphony in piano towards policy played by national . <eos>,"ernest macmillan gave lectures about each of the nine symphonies by beethoven , after which he and dale would play the whole symphony in a piano duet arrangement . <eos>"
"for example , in information theory , a signal is a codified message , that is , the sequence of states in a communication channel that encodes a message . <eos>","for example , in the state , in the state channel that found that found that found that found that given a message . <eos>","for example , in information theory , a signal is a codified message , ie , the sequence of states in a communications channel that encodes a message . <eos>"
"as a result , the rest of the muslim community is responsible for providing the participants with food , drinks , and whatever else they need during their stay . <eos>","as a result , the rest of the muslim community is responsible for the main with food , christian , christian , and piave else they need during their category . <eos>","as a result , the rest of the muslim community is responsible for providing them with food , drinks , and whatever else they need during their stay . <eos>"
"eleven players were inducted into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>","he is now found into the category , but in 2000 the board of directors , it and those appears are now considered to be in the uk category . <eos>","eleven players were added into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category . <eos>"
"the term was coined by thomas henry huxley in april 1860 , and was used to describe evolutionary concepts , including earlier concepts such as malthusianism and spencerism . <eos>","the term was now a lot of 1993 in april video , and was used to describe keys men , including earlier academic such as matcha and electronically . <eos>","the term was coined by thomas henry huxley in april 1860 . he used it to describe evolutionary concepts , including earlier concepts such as malthusianism and spencerism . <eos>"
a boot is a type of footwear that covers at least the foot and the ankle and sometimes extends up to the knee or even the hip . <eos>,a movie is a type of men that covers at least the port and the ankle and sometimes the armenian . <eos>,a boot is a type of footwear that protects the foot and ankle . <eos>
"in archaeology , an artifact or artefact is any object made or modified by a human culture , and often one later recovered by some archaeological endeavor . <eos>","in 1986 , an object or e. is any object made or modified by some radio tag . <eos>","in archaeology , an artifact or artefact is an object made or modified by a human culture . <eos>"
"almost as soon as he leaves , annius and the guard publius arrive to escort vitellia to titus , who has now chosen her as his empress . <eos>","almost as the language he won the armenian of he leaves , bechons and the armenian rlogin to get them to the middle . <eos>","almost as soon as he leaves , annius and the guard publius arrive to take vitellia to titus , who has now chosen her as his empress . <eos>"
"deomyines share no morphological characteristics that can be used to separate them from other muroids , though subtle aspects of the third upper molar have been suggested . <eos>","graham can be used to free them from other 0n , though absorbed of the third upper forests have been suggested . <eos>","deomyines share no morphological characteristics that can be used to separate them from other muroids . subtle aspects of the third upper molar have been suggested , though . <eos>"
december is the twelfth and last month of the year in the gregorian calendar and one of seven gregorian months with the length of 31 days . <eos>,december is the twelfth and last month of the year in the 1950s calendar and one of the length of the year in the 1950s calendar . <eos>,"december is the twelfth and last month of the year , with 31 days . <eos>"
"egypt is famous for its ancient civilization and some of the world 's most famous monuments , including the giza pyramid complex and its great sphinx . <eos>","the march famous for its ancient civilization and some of the world 's most famous ground , including the combination sequence complex and its great runway . <eos>","egypt is famous for its very old monuments , such as the pyramids and the sphinx . <eos>"
"the episodes ran 35 minutes , and episodes were very often edited to a standard half-hour running time when repeated on the bbc or satellite channels . <eos>",the main is the main of the main scale . <eos>,"the episodes ran 35 minutes , and many episodes were cut when repeated on the bbc or satellite channels . <eos>"
"it is revealed in the second episode that he is the current incarnation of the avatar , the spirit of the planet manifested in human form . <eos>",it is given in the second episode that he is the current of the belgian . <eos>,"it the second episode , aang was shown to be the current incarnation of the avatar , the spirit of the planet as a human . <eos>"
"the population of afghanistan is divided into a wide variety of ethnic groups of which tajik , pashtun , hazara , uzbek and baloch . <eos>","the population of afghanistan is divided into a wide centre of the bloor-danforth , anarchist , anarchist , metaphysics , metaphysics and grandeur . <eos>",the population of afghanistan is divided into many ethnic groups . <eos>
"by eschewing direct action in favor of influencing popular opinion , madison tried to make clear that the democratic-republicans were not moving toward disunion . <eos>",by pittsburgh involved action in a of commons : use to make help that the immediate were not moving drive . <eos>,"by eschewing direct action in favor of influencing popular opinion , madison tried to make clear that the republicans were not moving toward disunion . <eos>"
"it was founded in the 14th century by genoese colonists , who employed large numbers of workmen -lrb- calfats -rrb- in repairing ships . <eos>","it was founded in the 14th century by acton olympiad , who called the century by genoese olympiad , who called the united pair -lrb- janeiro -rrb- in 98 . <eos>",calafat was started in the 14th century by genoese colonists . <eos>
"much of the enlightenment occurred in french intellectual circles , and major scientific breakthroughs were achieved by french scientists in the 18th century . <eos>",much of the wall is the first of the wall is the first of the 18th century . <eos>,french scientists made big scientific discoveries in the 18th century . <eos>
"in computing , a protocol is a set of rules which is used by computers to communicate with each other across a network . <eos>","in computing , a protocol is a set of the same which is used by computers to communicate with each other across a network . <eos>","in computing , a protocol is the language used by computers while talking with each other . <eos>"
"in 1527 it fell into the hands of the revay family , who suppressed the town privileges of mosovce for almost 400 years . <eos>","in 1899 it fell into the uk of the cynara family , who still the town of the cynara family , who still the town of the cynara family . <eos>","in 1527 the revay family became its owners , and they took away the town privileges of mosovce for almost 400 years . <eos>"
"the name jadgal applies specifically to groups that still speak the jadgali language , in the makran region of iran and pakistan . <eos>","the name surge continued is a nucleus mice object to groups that still the armed language , in the horse region of iran and pakistan . <eos>",the jadgal people speak the jadgali language . <eos>
the combination of new weapons and tactics have caused many historians to consider this battle the beginning of the end of chivalry . <eos>,the combination of new settlement and tactics have caused many historians to consider this battle the beginning of the end of liege . <eos>,because of this change some historians call this battle the beginning of the end of chivalry . <eos>
"the caper story is distinguished from the straight crime story by elements of humor , adventure , or unusual cleverness or audacity . <eos>","the tracey story is published from the genus field story by elements of savoury , 1945 , or unusual fuel or coffee . <eos>","the typical elements of caper stories are humor , adventure , or unusual cleverness or audacity . <eos>"
in 1940 ellis became a member of maud who were investigating the possibility of using nuclear fission to develop new weapons . <eos>,in 1940 the first of the idea who were the member of the idea who were the idea of using nuclear flash to develop new hour . <eos>,during world war ii he worked on the possibility of using nuclear fission to develop new weapons . <eos>
"it is a transportation , commercial , and manufacturing centre , and has numerous industrial companies , principally geared towards shipbuilding . <eos>","it is a village , children , and has a village , children , and has numerous parts , linux towards aieux . <eos>","kolding is a transportation , commercial , and manufacturing centre , and has many industrial companies . <eos>"
"during the second world war , turing was a main participant in the efforts at bletchley park to break german ciphers . <eos>","during the second world war , 2000 was a main cabinet in the efforts at 1677 park to break german ciphers . <eos>","during the second world war , turing was a main participant in the efforts to break german ciphers . <eos>"
"she has an older brother , chad , and a twin brother who is 12 minutes younger than she is . <eos>","she has an older brother , chad , and a fire brother who is sometimes in the united states . <eos>","alanis has a twin brother and an older brother , chad . <eos>"
the female often has a stripe along the spine and dark sides while the male may have blue spots dorsally . <eos>,the female often has a village along the male may have now a rare . <eos>,the female often has a stripe along the back and the male may have blue spots . <eos>
"in 1973 , patrick white was awarded the nobel prize in literature , the only australian to have achieved this . <eos>","in 1973 , still white was awarded the nobel prize in literature , the only australian to have placed to have placed . <eos>","in 1973 , patrick white was awarded the nobel prize in literature , the only australian to have achieved this . <eos>"
"despite producing strong convection and tropical storm-force sustained winds , it failed to develop a low-level circulation until july 20 . <eos>","this career strong convection and tropical few of the united states , and tropical few of develop a tantrum circulation until july 20 . <eos>","although it was producing strong convection and tropical storm-force sustained winds , it did not develop a low-level circulation until july 20 . <eos>"
"infants with this disease seem healthy at birth but if left untreated suffer severe brain damage , and eventually die . <eos>",he with this performed seem filled at birth but if left reactions in birth but if left reactions in the united kingdom . <eos>,"infants with this disease seem healthy at birth . if the disease is not treated , the person will suffer severe brain damage and eventually die . <eos>"
"in traditional mosques , this function is often elaborated into a freestanding building in the center of a courtyard . <eos>","in traditional , this few is often found into a composer country in the center of a courtyard . <eos>","in bigger , traditional mosques , there is often a building specially for washing . this is often in the center of the courtyard . <eos>"
"he is also renowned for his work in mechanics , fluid dynamics , optics , and astronomy . <eos>","he is also the father for his work in netherlands , he is also in india , king , and hungary . <eos>","he is also known for his work in mechanics , optics , and astronomy . <eos>"
approximately 24 % australians over the age of 15 regularly participate in organised sporting activities in australia . <eos>,"the age of 15 15 , the age of 15 , the age of 15 , the united kingdom . <eos>",24 % australians over the age of 15 regularly take part in in organised sporting activities . <eos>
"restoration of independence in 1991 , the soviet union broke apart and armenia re-established its independence . <eos>","because of independence in 1991 , the soviet union of independence in 1991 , the soviet union of independence in 1991 , the soviet union of the soviet union . <eos>",armenia received its independence from the soviet union in 1991 . <eos>
"the official language of argentina is spanish , usually called castellano -lrb- castilian -rrb- by argentines . <eos>","the official language of defense is spanish , usually called 298m -lrb- 1010 -rrb- by inclinations . <eos>",spanish is the language most people speak and the official language . <eos>
a naval mine is a self-contained explosive device placed in water to destroy ships or submarines . <eos>,a type mine is a municipality found in water to the british ships or image . <eos>,a naval mine is a bomb placed in water to destroy ships or submarines . <eos>
the eruption causes deaths of livestock when they eat contaminated grass and also widespread crop failure . <eos>,the discovery has a good of lizard when they is a electric flavor . <eos>,eruption causes deaths of livestock when they eat contaminated grass and also widespread crop failure . <eos>
the union commanders then ordered another charge with a cavalry regiment that reinforced the union infantry . <eos>,the union music then served another associated with a cyclone way that follows to the union infantry . <eos>,the union army then ordered another charge with a large cavalry regiment that reinforced the union infantry . <eos>
since then they have changed their name to palladium and played alongside amy winehouse . <eos>,since then they have changed their name to closely and played alongside your mbar . <eos>,since then they have changed their name to palladium and played alongside amy winehouse . <eos>
wikipedia is free content that anyone can edit and distribute . <eos>,wikipedia is free areas that anyone can usually and mosque . <eos>,wikipedia is free content that anyone may change . <eos>
the print collections are further supported by extensive microform holdings . <eos>,the last independent are followed supported by change bc bce . <eos>,the print collections include large collections of microform . <eos>
this is known as the geocentric model of the universe . <eos>,this is known as the cities model of the universe . <eos>,this is known as the geocentric model of the universe . <eos>
