Original,Prediction,Simplified sentences
"she performed for president reagan in 1988 's great performances at the white house series , which aired on the public broadcasting service . <eos>",the first was a first match in the nearest opera in the united states . <eos>,"she performed for reagan in 1988 's great performances at the white house series , which aired on the public broadcasting service . <eos>"
"for example , king bhumibol was born on monday , so on his birthday throughout thailand will be decorated with yellow color . <eos>","he was a modest of his stock , and a taxi on a taxi on a taxi of cuba . <eos>","king bhumibol was born on a monday , so his birthday in thailand would be decorated with yellow . <eos>"
he advocates applying a user-centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline . <eos>,he has a few of a fever and more music in a small . <eos>,he recommends using a user-centered design process in product development cycles and also to popularize interaction design as a mainstream discipline . <eos>
each entry has a datum ( a nugget of data ) which is a copy of the datum in some backing store . <eos>,a town of a commune of the town of the town of the town of the united of the counter . <eos>,there is a copy of each datum entry in some backing store . <eos>
"ryan prosser ( born 10 july , 1988 ) is a professional rugby union player for bristol rugby in the guinness premiership . <eos>","armageddon , a smith is a first of the canadian of the united , in the western united . <eos>","born in 1988 , ryan prosser is a professional rugby player . he plays for bristol rugby in the guinness premiership . <eos>"
the international fight league was an american mixed martial arts ( mma ) promotion billed as the world 's first mma league . <eos>,the team was the team was the team of the united 's wwe 's and the united 's year . <eos>,"the international fight league was an american mma promotion , known as the world 's first mma league . <eos>"
he also completed two collections of short stories entitled the ribbajack & other curious yarns and seven strange and ghostly tales . <eos>,he is a australian and the same of the same and a same of the same . <eos>,he also completed two short story collections . these were titled the ribbajack & other curious yarns and seven strange and ghostly tales . <eos>
"the other incorporated cities on the palos verdes peninsula include rancho palos verdes , rolling hills estates and rolling hills . <eos>",the island of the governor-general of the governor-general of the governor-general grail and gaius . <eos>,"the other cities on the peninsula are rancho palos verdes , rolling hills estates and rolling hills . <eos>"
"this stamp remained the standard letter stamp for the remainder of victoria 's reign , and vast quantities were printed . <eos>","the first of the first woman of the holy , the first and the holy of the holy and swampy . <eos>",this remained the standard letter stamp for the rest of victoria 's reign . vast quantities were printed . <eos>
"this was the area east of the mouth of the vistula river , later sometimes called `` prussia proper '' . <eos>",the first of the first of the first of the holy of the holy of the holy of the holy . <eos>,"the area was east of the beginning of the vistula river . later on , some people called it `` prussia proper . '' <eos>"
weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour . <eos>,this was a same of the same of the same of the same of the same . <eos>,weelkes got in trouble with the chichester cathedral authorities because he drank a lot and behaved poorly . <eos>
alessandro ( `` sandro '' ) mazzola ( born 8 november 1942 ) is an italian former football player . <eos>,a emma is a italian football . <eos>,alessandro ( `` sandro '' ) mazzola ( born 8 november 1942 ) is an italian former footballer . <eos>
"formal minor planet designations are number-name combinations overseen by the minor planet center , a branch of the iau . <eos>",the lorry of the first is the first of the western united of the united of the united of the united of the united . <eos>,the minor planet center gives number name combinations to minor planets . <eos>
"on 16 june 2009 , the official release date of the resistance was announced on the band 's website . <eos>","the first was the first of the first of the united , the first was the first of the united . <eos>","on june 16 , 2009 the official release date of the resistance was announced . it was announced on the band 's website . <eos>"
"his next work , saturday , follows an especially eventful day in the life of a successful neurosurgeon . <eos>","a first , he was a town in the town of the town . <eos>",next saturday is a presentation of a successful neurosurgeon . <eos>
"it is situated at the coast of the baltic sea , where it encloses the city of stralsund . <eos>",it is the first of the arno of the arno of the arno of the canton . <eos>,it is located at the coast of the baltic sea and encloses the city of stralsund . <eos>
"at the voyager 2 images ophelia appears as an elongated object , the major axis pointing towards uranus . <eos>",the first was the first of the han states . <eos>,ophelia looks like a long item from voyager 2 images with the large part pointing toward uranus . <eos>
"like previous assessment reports , it consists of four reports , three of them from its working groups . <eos>",he was a few of a taxi of a taxi . <eos>,it consists of four reports . three of them are from its working groups . <eos>
the great dark spot is thought to represent a hole in the methane cloud deck of neptune . <eos>,the name is a capital to the united of the united . <eos>,the dark spot on ne ; tune may be a hole in the methane clouds . <eos>
it was originally thought that the debris thrown up by the collision filled in the smaller craters . <eos>,it was the largest of the australian and the australian . <eos>,the smaller craters were originally thought to be filled by collision debris . <eos>
"graham attended wheaton college from 1939 to 1943 , when he graduated with a ba in anthropology . <eos>","mobile browsers , he was a american in the american in other way . <eos>",graham graduated with a ba in anthropology from wheaton college . <eos>
"despina was discovered in late july , 1989 from the images taken by the voyager 2 probe . <eos>",he was in the united of the united . <eos>,"in 1989 , despina was discovered from the images that were taken by the voyager 2 probe . <eos>"
"by early on september 30 , wind shear began to dramatically increase and a weakening trend began . <eos>",it was a large of caldwell and other non-mainstream and other small of other and other small . <eos>,on september 30 the wind increased . <eos>
fives is a british sport believed to derive from the same origins as many racquet sports . <eos>,saint-victoret is a capital to the american to the american . <eos>,fives is a british sport . <eos>
both names became defunct in 2007 when they were merged into the national museum of scotland . <eos>,he was a fulbright in the nearest of the united of the united of the united of the united of the united of the united of the united . <eos>,both names became unused when they joined the national museum of scotland . <eos>
she remained in the united states until 1927 when she and her husband returned to france . <eos>,the first was first in the same of the united of 1862 and sciences . <eos>,she remained in the united states until returning to france with her husband in 1927 . <eos>
the first italian grand prix motor racing championship took place on 4 september 1921 at brescia . <eos>,the drug of the golden salamanders salamanders and eric . <eos>,"the first grand prix championship took place on september 4 , 1921 at brescia . <eos>"
"many species had vanished by the end of the nineteenth century , with european settlement . <eos>","the first of the first of the first of the area , the first of the holy of the holy . <eos>",many species had vanished with european settlement . <eos>
"gomaespuma was a spanish radio show , hosted by juan luis cano and guillermo fesser . <eos>","he was a large of the same , and a few of a cautionary music . <eos>",gomaespuma was a spanish radio show . it was hosted by juan luis cano and guillermo fesser . <eos>
he was also named 1982 `` sportsman of the year '' by sports illustrated . <eos>,he was a town of the coats of hawaii . <eos>,he was sports illustrated 's `` sportsman of the year '' in 1982 . <eos>
working group i : assesses scientific aspects of the climate system and climate change . <eos>,it was a great of the north great of the north family . <eos>,working group i : looks at the aspects of climate change and the climate <eos>
"mariel of redwall is a fantasy novel by brian jacques , published in 1991 . <eos>",a workstation is a root of a libyan . <eos>,mariel of redwall is a novel written by brian jacques . it was published in 1991 . <eos>
in 1987 wexler was inducted into the rock and roll hall of fame . <eos>,in the first was was the first of the same of the united . <eos>,in 1987 wexler was recognized into the rock and roll hall of fame . <eos>
"orton and his wife welcomed alanna marie orton on july 12 , 2008 . <eos>","this is a faculty of the taxi , and other species . <eos>","orton and his wife welcomed alanna marie orton july 12 , 2008 . <eos>"
they are culturally akin to the coastal peoples of papua new guinea . <eos>,the first of the first of the han of the han of the han of the han of the han of the united . <eos>,they are culturally similar to the coastal peoples of papua new guinea . <eos>
the british decided to eliminate him and take the land by force . <eos>,the most of the most of the loy and the american 's districts and the american . <eos>,the british decided to take him out and land by force . <eos>
"there he died six weeks later , on 13 january 888 . <eos>",he was a american wrestling on november . <eos>,he died there six weeks later on 13 january 888 . <eos>
"in its pure form , dextromethorphan occurs as a white powder . <eos>","in the town , he was a american of lyndhurst , england . <eos>",dextromethorphan appears as a white powder in its natural form . <eos>
"today nrc is organised as an independent , private foundation . <eos>",a doll is a american of the american . <eos>,"nrc is run as an independent , private foundation . <eos>"
it is not actually a true louse . <eos>,it is a libyan of astronomers . <eos>,it is not a louse . <eos>
admission to tsinghua is extremely competitive . <eos>,thalassa is a libyan of the libyan . <eos>,it is very hard to be admitted to tsinghua . <eos>
"in 1438 trevi passed under the temporal rule of the church as part of the legation of perugia , and thenceforth its history merges first with that of the states of the church , then ( 1860 ) with the united kingdom of italy . <eos>","in the first of the first of the first of the first of the holy of the holy of the island , the first of the cross of the country of the country of the country of the country of the raid<eos>","in 1438 , trevi was temporarily ruled by the church as part of perugia . from that time , its history merges with the states of the church until 1860 , then becoming part of the united kingdom of italy . <eos>"
"none of the authors , contributors , sponsors , administrators , vandals , or anyone else connected with wikipedia , in any way whatsoever , can be responsible for your use of the information contained in or linked from these web pages . <eos>","the first of the first of the first of the large of the austrian , and a canadian to be a free to be a same to be a same to be a same to be a same to be a business<eos>",none of the people connected with wikipedia in any way can be responsible for how you use the information you learn here . <eos>
"if there are no strong land use controls , buildings are built along a bypass , converting it into an ordinary town road , and the bypass may eventually become as congested as the local streets it was intended to avoid . <eos>","he has a mobile , he was a storm to be a university to be a university to be a new new other to the same to the same to new york . <eos>",buildings are built along a road that goes over other roads if not controlled and may become busy anyway . <eos>
"historically , the sensations of itch and pain have not been considered to be independent of each other until recently , where it was found that itch has several features in common with pain , but exhibits notable differences . <eos>",the first of the first of the first of the first of the first of the golden of the golden of the golden of the golden and other school in other continents . <eos>,"historically , the sensations of itch and pain have not been considered to be independent of each other until recently . it was found that itch has several features in common with pain , but exhibits notable differences . <eos>"
"the tongue is sticky because of the presence of glycoprotein-rich mucous , which both lubricates movement in and out of the snout and helps to catch ants and termites , which adhere to it . <eos>",the coat is a first of the holy of the holy of the holy and ticino and ticino and ticino and ticino and ticino and ticino and ticino . <eos>,"the tongue is sticky because of the presence of glycoprotein-rich mucous . this lubricates movement in and out of the snout and helps to catch ants and termites , which adhere to it . <eos>"
"convinced that the grounds were haunted , they decided to publish their findings in a book an adventure ( 1911 ) , under the pseudonyms of elizabeth morison and frances lamont . <eos>",the term of the term was the first of the term of the main of the area of the headbangers of the headbangers of the headbangers of the headbangers . <eos>,"convinced that the grounds were haunted , they decided to publish their findings in the book `` an adventure '' . it was published in 1911 under the pseudonyms of elizabeth morison and frances lamont . <eos>"
"the current lineup of the band comprises flynn ( vocals , guitar ) , duce ( bass ) , phil demmel ( guitar ) , and dave mcclain ( drums ) . <eos>","the term of the island of the island , the island of the island , and the island of the island . <eos>","the current lineup of the band is flynn ( vocals , guitar ) , duce ( bass ) , phil demmel ( guitar ) , and dave mcclain ( drums ) . <eos>"
"furthermore , research has shown children are less likely to report a crime if it involves someone that he or she knows , trusts , and / or cares about . <eos>",a few and clarke and faith to be a large and other and other other or or other or or other or or other or or other or or other or or other or or other or or boys . <eos>,research has shown that children are less likely to report a crime if it involves someone that he or she knows . <eos>
"in return , rollo swore fealty to charles , converted to christianity , and undertook to defend the northern region of france against the incursions of other viking groups . <eos>",in the first to the first to the first to the first of the united of the united of the united of the united of the united of the united of the united of the united of the jews of the jews<eos>,"in return , rollo swore fealty to charles , converted to christianity , and began defending the northern region of france against the incursions of other viking groups . <eos>"
"the depression moved inland on the 20th as a circulation devoid of convection , and dissipated the next day over brazil , where it caused heavy rains and flooding . <eos>",the first of the first of the first of the east of the united of the united of the united of the island and ticino and ticino . <eos>,"the tropical depression moved inland on the 20th barely formed . it dissolved the next day over brazil , causing heavy rains and flooding . <eos>"
advocacy countries with a minority muslim population are more likely than muslim-majority countries of the greater middle east to use mosques as a way to promote civic participation . <eos>,some was a storm of the storm of the same of the same of the same of the same of the same of fame . <eos>,advocacy countries with a minority of muslims are more likely than countries with a majority of muslims to use mosques to promote civic participation . <eos>
"the apostolic tradition , attributed to the theologian hippolytus , attests the singing of hallel psalms with alleluia as the refrain in early christian agape feasts . <eos>","the east to the bayou , the dragonfly to the bayou , and held the first storm in the leaf . <eos>",": the apostolic tradition , attributed to the theologian hippolytus , cites of hallel psalms with alleluia as the refrain in early christian agape feasts . <eos>"
"seventh sons have strong `` knacks '' ( specific magical abilities ) , and seventh sons of seventh sons are both extraordinarily rare and powerful . <eos>",some has a spanish of a spanish of a spanish of a spanish of boxing and other other of other and 40th . <eos>,"seventh sons have magical abilities , and seventh sons of seven sons are even more powerful . <eos>"
"benchmarking conducted by passmark software highlights the 2009 version 's 52 second install time , 32 second scan time , and 7 mb memory utilization . <eos>","the garden 's garden , the garden 's garden and artiodactyla 's weekly and artiodactyla . <eos>","benchmarking done by passmark software highlights the 2009 version 's 52 second install time , 32 second scan time , and 7 mb memory utilization . <eos>"
"volunteers provided food , blankets , water , children 's toys , massages , and a live rock band performance for those at the stadium . <eos>","hahn , shamim , shamim , shamim , shamim , and wilkes , including , and the uk opera the same of the uk . <eos>","volunteers provided food , blankets , water , toys , massages , and a rock performance for those at the stadium . <eos>"
"in 1990 , mark messier took the hart over ray bourque by a margin of two votes , the difference being a single first-place vote . <eos>","in the first of the raja of the raja of the raja of the landtag of the landtag , the raja of the netherlands . <eos>","in 1990 , mark messier won the hart trophy over ray bourque by one first-place vote . <eos>"
the historical method comprises the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history . <eos>,the most of the storm of the east of the east and the golden of the golden and ticino and ticino and pillared and pillared . <eos>,the historical method is the way in which historians use primary sources and other evidence to research and record history . <eos>
it will then dislodge itself and sink back to the river bed in order to digest its food and wait for its next meal . <eos>,it was to the goldfields to the goldfields to the goldfields . <eos>,it will move itself and sink back to the river bed so that it can digest its food and wait for its next meal . <eos>
"johan was also the original bassist of the swedish power metal band hammerfall , but quit before the band ever released a studio album . <eos>",he was the first of the norwegian of the holy of the united states . <eos>,johan was the original bassist of hammerfall . he quit before the band released an album . <eos>
the two former presidents were later separately charged with mutiny and treason for their roles in the 1979 coup and the 1980 gwangju massacre . <eos>,"the restkreis was a rams , and the ruhr 's conference and the ennepe and the ennepe and the ennepe and the ennepe . <eos>",the two former presidents were charged with mutiny and treason . <eos>
"this leads to consumer confusion when 220 ( 1,048,576 ) bytes is referenced as 1 mb ( megabyte ) instead of 1 mib . <eos>",it has be be be be the canadian ( primar ) ( flac ) . <eos>,people get confused when the term mb is used instead of mib . <eos>
"there are statues of sir alf ramsey and sir bobby robson , both former ipswich town and england managers , outside the ground . <eos>","they are a state of the new new new the new new new the new new new york , and the new new new york . <eos>",there are statues of sir alf ramsey and sir bobby robson . <eos>
"george frideric handel also served as kapellmeister for george , elector of hanover ( who eventually became george i of great britain ) . <eos>",a pie was a pound of a town of a town of a town . <eos>,"george frideric handel also served as kapellmeister for george , elector of hanover . <eos>"
"today , landis ' father has become a hearty supporter of his son and regards himself as one of floyd 's biggest fans . <eos>","a term of a pie , a solution of a pound of a large 's name of a same . <eos>","today , floyd 's father has become a strong supporter of his son . <eos>"
the new york city housing authority police department was a law enforcement agency in new york city that existed from 1952 to 1995 . <eos>,"the term has been a golden in 1975 , 1975 , and a same in germany . <eos>",the new york city housing authority police department existed from 1952 to 1995 . <eos>
the sheer weight of the continental icecap sitting on top of lake vostok is believed to contribute to the high oxygen concentration . <eos>,the coat of the mandaeans of the mandaeans of the coat 's coat is a american to the american to the united . <eos>,high oxygen concentration is caused from the weight of the icecap on lake vostok . <eos>
the form of chess played is speed chess in which each competitor has a total of twelve minutes for the whole game . <eos>,the name of the book of the book is a town of the main of the main of the main of the main of the main of the main of the main of the main of the main of the main of<eos>,speed chess gives each player 12 minutes for the game . <eos>
"the wave traveled across the atlantic , and organized into a tropical depression off the northern coast of haiti on september 13 . <eos>","the first of the east , the first was a first of the united of the upper river . <eos>","the wave traveled across the atlantic . on september 13 , it became a tropical depression near haiti 's northern coast . <eos>"
"it is also a starting point for people wanting to explore cooktown , cape york peninsula , and the atherton tableland . <eos>",it is a american of the american of the area of the north and other american of the north and other side . <eos>,"it is the start for people looking at cooktown , cape york peninsula , and the atherton tableland . <eos>"
"prior to the arrival of the storm , the national park service closed visitor centers and campgrounds along the outer banks . <eos>",the first of the first of the east of the east of the east and the american of the east . <eos>,campgrounds around the outer banks were closed for the storm . <eos>
"disney received a full-size oscar statuette and seven miniature ones , presented to him by 10-year-old child actress shirley temple . <eos>",it is a clearer of andhra and other features to be a other non-mainstream and other other effects . <eos>,disney got a full-size oscar statue and seven little ones given to him by 10 year old actress shirley temple . <eos>
aliteracy ( sometimes spelled alliteracy ) is the state of being able to read but being uninterested in doing so . <eos>,spurgeon is the commune of the same of the united of the united of the united . <eos>,aliteracy is being able to read but choosing not to . <eos>
"brunstad has several fast food restaurants , a cafeteria-style restaurant , coffee bar , and its own grocery store . <eos>","aang , and grace , and a large , and a large , and statesman . <eos>",brunstad has several fast food restaurants as well as a cafeteria-style restaurant . they also have a coffee bar and a grocery store . <eos>
they are castrated so that the animal may be more docile or may put on weight more quickly . <eos>,they was the storm storm to be the same to be the same . <eos>,the animals are castrated so they become more calm and put on weight . <eos>
"tickets can be retailed for national rail services , the docklands light railway and on oyster card . <eos>","oliver , the state of the uk , the raja 's negotiations and the uk . <eos>","tickets can be purchased for national rail services , the docklands light railway or an oyster card . <eos>"
"these works he produced and published himself , whilst his much larger woodcuts were mostly commissioned work . <eos>",he was a few of food and other other solo . <eos>,some works he made himself . his larger woodcuts were commissioned . <eos>
the amazon basin is the part of south america drained by the amazon river and its tributaries . <eos>,the subunguis is the softer of the united . <eos>,the amazon basin is at the end of the amazon river . <eos>
the same tram had derailed on 30 may 2006 at starr gate loop during previous trials . <eos>,the term was made on a chan . <eos>,the same tram had derailed on 30 may 2006 at during previous trials . <eos>
vouvray-sur-huisne is a commune in the sarthe department in the region of pays-de-la-loire in northwestern france . <eos>,horgen is a commune in the sarthe in pays-de-la-loire . <eos>,vouvray-sur-huisne is a place people work together in the sarthe place of pays-de-la-loire in northwestern france . <eos>
moderate to severe damage extended up the atlantic coastline and as far inland as west virginia . <eos>,some storm to the storm and the storm storm . <eos>,"places along the atlantic coast had moderate to severe damage . there was inland damage as far away from the coast as west virginia , too . <eos>"
"shortly after attaining category 4 status , the outer convection of the hurricane became ragged . <eos>",he escapes to the nearest of the nearest and the north american . <eos>,"shortly after reaching category 4 status , the hurricane decreased in strength . <eos>"
"because the owner tends to be unaware , these computers are metaphorically compared to zombies . <eos>",the storm of the storm to the norwegian and houston and houston . <eos>,usually the owner does n't know about this . their computer is compared to a zombie . <eos>
the incident has been the subject of numerous reports as to ethics in scholarship . <eos>,the name of the town of the town of the national of the national 12th . <eos>,the incident has raised concerns about ethics in scholarships . <eos>
"he left a detachment of 11,000 troops to garrison the newly conquered region . <eos>",he was a first of the nearest of the nearest . <eos>,"he left 11,000 troops there to defend the region . <eos>"
"in 1998 , culver ran for iowa secretary of state and was victorious . <eos>","in the term of the few , he was be be be be and other neutral . <eos>",culver became iowa 's secretary of state in 1998 . <eos>
it is derived from voice of america ( voa ) special english . <eos>,it is a composition of hawaii . <eos>,it is derived from voice of america special english . <eos>
"hinterrhein is an administrative district in the canton of graubunden , switzerland . <eos>",horgen is a town in the american of graubunden . <eos>,"hinterrhein is a leading district in the place of graubunden , switzerland . <eos>"
"their eyes are quite small , and their visual acuity is poor . <eos>",they are also used . <eos>,"their eyes are small , and their visual acuity is poor . <eos>"
the equilibrium price for a certain type of labor is the wage . <eos>,the town of the town of the town 's name is a american of the united . <eos>,the price for a certain type of labor is the wage . <eos>
the characters are foul-mouthed extensions of their earlier characters pete and dud . <eos>,the term of the same of the main gloves and determination . <eos>,the characters are vulgar versions of their characters pete and dud . <eos>
"for example , the stylebook of the associated press is updated annually . <eos>",the first of the first of the most of the holy of the holy of the holy of the holy . <eos>,"for example , the designs used by the associated press are updated every year . <eos>"
he is also a member of another jungiery boyband 183 club . <eos>,he is a root of a root of a grammatical of zurich . <eos>,"he 's also a member of another jungiery boyband , 183 club . <eos>"
it was the first asteroid to be discovered by a spacecraft . <eos>,it was the first of the first of the world of the world . <eos>,it was the first asteroid found by a spaceship . <eos>
they are rivaled as biological materials in toughness only by chitin . <eos>,they are not a maestro in 1961 . <eos>,they are rivaled only by chitin in toughness . <eos>
"he settled in london , devoting himself chiefly to practical teaching . <eos>",he was in the first in 1862 . <eos>,"he settled in london , devoting himself mostly to practical teaching . <eos>"
it continues as the bohemian switzerland in the czech republic . <eos>,it was the first in the united . <eos>,it goes on as the bohemian switzerland in the czech republic . <eos>
volterra is a town in the tuscany region of italy . <eos>,horgen is a commune in the sarthe . <eos>,volterra is an italian town in the tuscany region . <eos>
mifepristone is a synthetic steroid compound used as a pharmaceutical . <eos>,saint-victoret is a libyan of the libyan . <eos>,mifepristone is a synthetic steroid compound used as medicine . <eos>
he was diagnosed with inoperable abdominal cancer in april 1999 . <eos>,he was a american in 1961 . <eos>,he found out he had stomach cancer in april 1999 . <eos>
bruises often induce pain but are not normally dangerous . <eos>,usucha can be be a american for his other dakota . <eos>,bruises are painful but not bad for you . <eos>
oregano is an indispensable ingredient in greek cuisine . <eos>,hawk is a libyan in benghazi . <eos>,oregano is a necessary ingredient in greek cuisine . <eos>
"as of 2000 , the population was 89,148 . <eos>",he was a north north the north north north north . <eos>,"as of 2000 , the population was 89,148 . <eos>"
take the square root of the variance . <eos>,the first of the first of the first of the national of the united . <eos>,take the variance 's square root . <eos>
the female equivalent is a daughter . <eos>,the term is a district . <eos>,"if the child is a female , it is a daughter . <eos>"
"the largest populations of mennonites are in canada , democratic republic of congo and the united states , but mennonites can also be found in tight-knit communities in at least 51 countries on six continents or scattered amongst the populace of those countries . <eos>",the coat of the first of the first of the first of the first of the united of the united of the united of the united of the united . <eos>,"most mennonites live in canada , the democratic republic of congo , and the united states , but they can also be found in 51 other countries . <eos>"
